date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:04	201/201	U-----	200	untouched ('OK')	text/plain	etag:W/%22c9-fPhna5f2Wf3Q8vo5B48mI7Y0z7w%22	http://benjamincouprie3.wixsite.com/robots.txt		(from )
10:45:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Mar%202021%2009:45:04%20GMT	http://benjamincouprie3.wixsite.com/my-site-2/	C:/Mes%20Sites%20Web/wix/benjamincouprie3.wixsite.com/my-site-2/index.html	(from )
10:45:08	201/201	U-----	200	untouched ('OK')	text/plain	etag:W/%22c9-fPhna5f2Wf3Q8vo5B48mI7Y0z7w%22	https://benjamincouprie3.wixsite.com/robots.txt		(from http://benjamincouprie3.wixsite.com/my-site-2/)
10:45:08	336092/336092	UR-MCZ	200	updated ('OK')	text/html	date:Wed,%2024%20Mar%202021%2009:45:08%20GMT	https://benjamincouprie3.wixsite.com/my-site-2	C:/Mes%20Sites%20Web/wix/benjamincouprie3.wixsite.com/my-site-2.html	(from http://benjamincouprie3.wixsite.com/my-site-2/)
10:45:09	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Mes%20Sites%20Web/wix/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://benjamincouprie3.wixsite.com/my-site-2)
10:45:09	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Mes%20Sites%20Web/wix/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://benjamincouprie3.wixsite.com/my-site-2)
10:45:09	37648/37648	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2017%20Feb%202021%2017:54:30%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Mes%20Sites%20Web/wix/polyfill.io/v3/polyfill.mind82c.js	(from https://benjamincouprie3.wixsite.com/my-site-2)
10:45:10	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2009:45:10%20GMT	https://benjamincouprie3.wixsite.com/my-site-2/decodeURIComponent(e	C:/Mes%20Sites%20Web/wix/benjamincouprie3.wixsite.com/my-site-2/decodeURIComponent(e	(from https://benjamincouprie3.wixsite.com/my-site-2)
10:45:10	58325/58325	---M-Z	200	added ('OK')	application/javascript	etag:%2227315422580e3fc670b3db4a0f32598e%22	https://browser.sentry-cdn.com/5.21.4/bundle.min.js	C:/Mes%20Sites%20Web/wix/browser.sentry-cdn.com/5.21.4/bundle.min.js	(from https://benjamincouprie3.wixsite.com/my-site-2)
10:45:10	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2009:45:10%20GMT	https://benjamincouprie3.wixsite.com/my-site-2/https:	C:/Mes%20Sites%20Web/wix/benjamincouprie3.wixsite.com/my-site-2/https_	(from https://benjamincouprie3.wixsite.com/my-site-2)
10:45:10	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2009:45:10%20GMT	https://benjamincouprie3.wixsite.com/my-site-2/robots.txt	C:/Mes%20Sites%20Web/wix/benjamincouprie3.wixsite.com/my-site-2/robots.txt	(from https://benjamincouprie3.wixsite.com/my-site-2)
10:45:11	296/296	---M--	200	added ('OK')	text/xml	date:Wed,%2024%20Mar%202021%2009:45:11%20GMT	https://benjamincouprie3.wixsite.com/my-site-2/sitemap.xml	C:/Mes%20Sites%20Web/wix/benjamincouprie3.wixsite.com/my-site-2/sitemap.xml	(from https://benjamincouprie3.wixsite.com/my-site-2)
10:45:11	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2009:45:11%20GMT	https://benjamincouprie3.wixsite.com/my-site-2/feed.xml	C:/Mes%20Sites%20Web/wix/benjamincouprie3.wixsite.com/my-site-2/feed.xml	(from https://benjamincouprie3.wixsite.com/my-site-2)
10:45:11	139175/139175	---M-Z	200	added ('OK')	application/javascript	etag:W/%22b68245dccee0fa7d1ee49754fde1030f%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.6c5ec0f6.chunk.min.js	C:/Mes%20Sites%20Web/wix/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.6c5ec0f6.chunk.min.js	(from https://benjamincouprie3.wixsite.com/my-site-2)
10:45:12	232018/232018	---M-Z	200	added ('OK')	application/javascript	etag:W/%2243c19db0f558986a30422383a38c5e07%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.522d5457.chunk.min.js	C:/Mes%20Sites%20Web/wix/static.parastorage.com/services/wix-thunderbolt/dist/main.522d5457.chunk.min.js	(from https://benjamincouprie3.wixsite.com/my-site-2)
10:45:12	73261/73261	---M-Z	200	added ('OK')	application/javascript	etag:W/%22bc0594c54450e8ac689739b6b198067a%22	https://static.parastorage.com/unpkg/lodash@4.17.15/lodash.min.js	C:/Mes%20Sites%20Web/wix/static.parastorage.com/unpkg/lodash@4.17.15/lodash.min.js	(from https://benjamincouprie3.wixsite.com/my-site-2)
10:45:12	21966/21966	---M-Z	200	added ('OK')	application/javascript	etag:W/%229280d1eceb97d670dad92813544165a9%22	https://static.parastorage.com/services/wix-thunderbolt/dist/wix-code-sdk-providers.fd1ec723.chunk.min.js	C:/Mes%20Sites%20Web/wix/static.parastorage.com/services/wix-thunderbolt/dist/wix-code-sdk-providers.fd1ec723.chunk.min.js	(from https://benjamincouprie3.wixsite.com/my-site-2)
10:45:12	35142/35142	---M-Z	200	added ('OK')	application/javascript	etag:W/%223f40426eb04a939f2711e0e9934e1712%22	https://static.parastorage.com/services/wix-thunderbolt/dist/siteMembers.27394d84.chunk.min.js	C:/Mes%20Sites%20Web/wix/static.parastorage.com/services/wix-thunderbolt/dist/siteMembers.27394d84.chunk.min.js	(from https://benjamincouprie3.wixsite.com/my-site-2)
